ID,Job_Outside_Home,Work_Vigorous_Days,Work_Vigorous_Minutes,Work_Moderate_Days,Work_Moderate_Minutes,Work_Walking_Days,Work_Walking_Minutes,Transport_Vehicle_Days,Transport_Vehicle_Minutes,Transport_Cycle_Days,Transport_Cycle_Minutes,Transport_Walking_Days,Transport_Walking_Minutes,Yard_Vigorous_Days,Yard_Vigorous_Minutes,Yard_Moderate_Days,Yard_Moderate_Minutes,Domestic_Moderate_Days,Domestic_Moderate_Minutes,Leisure_Walking_Days,Leisure_Walking_Minutes,Leisure_Vigorous_Days,Leisure_Vigorous_Minutes,Leisure_Moderate_Days,Leisure_Moderate_Minutes,Sitting_Week-day_Minutes,Sitting_Weekend-day_Minutes
0F5c50Ho,no,0,0,0,0,0,0,3,90,0,0,5,30,0,0,0,0,0,0,1,30,2,60,0,0,480,480
1J5emTS2,yes,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0,1,20,1,10,1,60,1,60,720,480
1l9vbN13,yes,3,120,0,0,0,0,3,15,0,0,5,75,1,0,0,0,5,30,2,20,2,60,6,60,180,360
24hUdO3Y,No,5,30,1,60,5,60,1,60,0,0,6,60,5,30,3,40,5,30,7,60,3,40,2,60,300,420
2PSVQu8y,yes,0,0,2,60,7,30,3,30,0,0,2,15,1,20,0,0,0,0,0,0,0,0,0,0,360,240
2r2Q29Wk,yes,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0,0,0,7,60,0,0,0,0,840,660
3UBaKRa5,yes,5,60,5,300,6,120,6,60,0,0,2,60,1,120,3,60,3,60,2,60,3,45,3,45,60,240
4vzVT3Pb,yes,6,120,5,60,0,0,0,0,3,120,4,20,1,180,0,0,0,0,7,30,5,120,0,0,420,480
6e2yk6eN,yes,5,180,5,300,2,60,5,300,0,0,6,180,5,120,0,0,2,30,0,0,3,60,0,0,120,240
6uOI96bN,no,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,3,40,3,210,2,60,2,60,300,300
7A9c9CEw,no,0,0,0,0,0,0,0,0,0,0,4,25,2,20,2,30,2,20,3,15,3,60,3,30,600,360
